date,title,url,snippet,source,keyword_source,status,flags
2025-07-21,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=https://routenote.com/radar/aso-driving-a-warm-and-introspective-lo-fi-instrumental/&ct=ga&cd=CAEYACoUMTUxMzI2MDY1NTI0NDQwNDE0NjgyGjI5OWVmNjc3NDNjODE2NjA6Y29tOmVuOlVT&usg=AOvVaw1wXFO8Oq9IRKr99HL8UCPU>,"=== News - 10 new results for [Lo-Fi] ===  Aso - Driving: A Warm and Introspective Lo-Fi Instrumental - RouteNote - Radar RouteNote Aso's “Driving” is a warm, introspective lo-fi instrumental tha",Google Alert,lo-fi,pending,
2025-07-22,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=https://earmilk.com/2025/07/21/t-m-shares-lo-fi-heartbreak-anthem-sadderday/&ct=ga&cd=CAEYACoTMTc3NjM2ODg1NjE5MzQ0Njk3ODIaN2UzM2ZkNjllYmQ3YmJkNjpjb206ZW46VVM&usg=AOvVaw1gL55KWIQdglAbNeeZY6oW>,=== News - 9 new results for [Lofi] ===  T.M. shares lo-fi heartbreak anthem “SADDERDAY” - EARMILK EARMILK T.M. shares lo-fi heartbreak anthem “SADDERDAY” ... In an era dominated by high-gloss pr,Google Alert,lo-fi,pending,
2025-07-28,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=https://www.laughingplace.com/disney-entertainment/fantastic-four-mickey-lo-fi/&ct=ga&cd=CAEYACoUMTUxMzE5NDU1NDYxMzUwNzIxNjkyGjdlMzNmZDY5ZWJkN2JiZDY6Y29tOmVuOlVT&usg=AOvVaw3TC43MReqKA9gmznKZgbhB>,=== News - 3 new results for [Lofi] ===  Lofi with Layers: Disney's Newest Soundtrack Vid Checks Off A Few Boxes on the Synergy Checklist Laughing Place A new video has arrived featuring the soun,Google Alert,lo-fi,pending,
2025-07-30,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=https://www.ainvest.com/news/moonbull-whitelist-capacity-lo-fi-volume-surges-47-mog-coin-bounces-2-2025-crypto-push-2507/&ct=ga&cd=CAEYACoTNDgzNzY3ODQzMDM0MzcwNzUyMDIaN2UzM2ZkNjllYmQ3YmJkNjpjb206ZW46VVM&usg=AOvVaw3vwtRZxAzsz4vCCHhSqCp2>,"=== News - 8 new results for [Lofi] ===  MoonBull Whitelist Near Capacity as lo-fi Volume Surges 47% and Mog Coin Bounces 2 ... AInvest MoonBull's whitelist is nearing capacity, drawing attention",Google Alert,lo-fi,trash,crypto_block
2025-07-31,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=https://www.eonline.com/news/1420565/youtubes-lo-fi-girl-graduates-after-studying-for-7-years&ct=ga&cd=CAEYACoUMTQwMzk1NTQxODQyNTg5MzA2NTEyGjI5OWVmNjc3NDNjODE2NjA6Y29tOmVuOlVT&usg=AOvVaw1AM1nlrwXmNwmTlV4BQ5vF>,=== News - 10 new results for [Lo-Fi] ===  YouTube's Lofi Girl Graduates After Studying for 7 Years - E! News E! News Lofi Girl—whose perpetual studying animation accompanies a long-running YouTu,Google Alert,lo-fi,pending,
2025-07-31,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=https://www.eonline.com/news/1420565/youtubes-lo-fi-girl-graduates-after-studying-for-7-years&ct=ga&cd=CAEYACoUMTc0NTQ0MjgwMzA1NDEzNzExMTUyGjdlMzNmZDY5ZWJkN2JiZDY6Y29tOmVuOlVT&usg=AOvVaw1AM1nlrwXmNwmTlV4BQ5vF>,=== News - 10 new results for [Lofi] ===  YouTube's Lofi Girl Graduates After Studying for 7 Years - E! News E! News Lofi Girl—whose perpetual studying animation accompanies a long-running YouTub,Google Alert,lo-fi,pending,
2025-08-01,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=https://thehustle.co/news/this-ai-device-lets-you-watch-your-dreams-as-lo-fi-movies&ct=ga&cd=CAEYACoTMjU3MDQyMTkzODI2NTQzMDQzMTIaMjk5ZWY2Nzc0M2M4MTY2MDpjb206ZW46VVM&usg=AOvVaw0y1Na5K2a9bIzmhMCRx81V>,=== News - 10 new results for [Lo-Fi] ===  This AI device lets you watch your dreams as lo-fi movies - The Hustle The Hustle Modem's Dream Recorder generates users' dreams into lo-fi movies. <htt,Google Alert,lo-fi,pending,
2025-08-01,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=https://vocal.media/humans/lo-fi-girl-graduates-after-eight-years-of-eternal-studying&ct=ga&cd=CAEYACoUMTQ2NTA2NTY2MDc5MjMyNjA2NjIyGjdlMzNmZDY5ZWJkN2JiZDY6Y29tOmVuOlVT&usg=AOvVaw1YxJg946-blgJkOMhiJAPp>,=== News - 10 new results for [Lofi] ===  Lofi Girl Graduates After Eight Years of Eternal Studying | Humans - Vocal Media Vocal Media The studying is over for the face behind the viral Lofi live,Google Alert,lo-fi,pending,
2025-08-02,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=https://timesofindia.indiatimes.com/etimes/trending/after-8-years-the-lo-fi-girl-has-finally-graduated-and-the-internet-is-nostalgic/articleshow/123051163.cms&ct=ga&cd=CAEYACoSMjc5NDIxMzc1ODQ5NTczMjc0MhoyOTllZjY3NzQzYzgxNjYwOmNvbTplbjpVUw&usg=AOvVaw3PHxOiZFXjMrLQ8_tZMA0m>,"=== News - 10 new results for [Lo-Fi] ===  After 8 years, the lo-fi girl has finally graduated- and the internet is nostalgic - Times of India Times of India Trending News: After eight years of c",Google Alert,lo-fi,pending,
2025-08-03,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=https://www.msn.com/en-us/music/news/vinyl-lp-of-lo-fi-remixes-of-classic-konami-arcade-themes/ar-AA1JJbf6&ct=ga&cd=CAEYACoUMTU4NTQ1MjYyNzAxNDE5NTk0NzMyGjI5OWVmNjc3NDNjODE2NjA6Y29tOmVuOlVT&usg=AOvVaw2eY9AnEOM3d5Suei_aR40L>,"=== News - 10 new results for [Lo-Fi] ===  Vinyl LP of lo-fi remixes of classic Konami arcade themes - MSN MSN Konami LoFi Beats To Chill To [sold out, try eBay] is a vinyl LP featuring relaxing,",Google Alert,lo-fi,pending,
2025-08-03,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=https://www.msn.com/en-us/music/news/vinyl-lp-of-lo-fi-remixes-of-classic-konami-arcade-themes/ar-AA1JJbf6&ct=ga&cd=CAEYACoUMTgwMjM1OTA0NTYzNjA5MjQzMTEyGjdlMzNmZDY5ZWJkN2JiZDY6Y29tOmVuOlVT&usg=AOvVaw2eY9AnEOM3d5Suei_aR40L>,"=== News - 10 new results for [Lofi] ===  Vinyl LP of lo-fi remixes of classic Konami arcade themes - MSN MSN Konami LoFi Beats To Chill To [sold out, try eBay] is a vinyl LP featuring relaxing,",Google Alert,lo-fi,pending,
2025-08-04,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=https://www.highsnobiety.com/p/havaianas-zellerfeld-3d-printed-flip-flop/&ct=ga&cd=CAEYACoTNTgxMDQyMDEwMzQ4MjQ2NjgzMTIaN2UzM2ZkNjllYmQ3YmJkNjpjb206ZW46VVM&usg=AOvVaw2YYaft4_PGzppJ_iwDqaQM>,"=== News - 5 new results for [Lofi] ===  Havaianas' 3D-Printed Flip-Flop Is Lo-Fi High-Tech Highsnobiety Havaianas & Zellerfeld's 3D-printed flip-flop is high-tech lo-fi footwear, a combo of cutt",Google Alert,lo-fi,pending,
2025-08-04,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=https://www.highsnobiety.com/p/havaianas-zellerfeld-3d-printed-flip-flop/&ct=ga&cd=CAEYACoUMTQ0OTQ5NDU2MjQ5MTI0MTc0NzQyGjI5OWVmNjc3NDNjODE2NjA6Y29tOmVuOlVT&usg=AOvVaw2YYaft4_PGzppJ_iwDqaQM>,"=== News - 10 new results for [Lo-Fi] ===  Havaianas' 3D-Printed Flip-Flop Is Lo-Fi High-Tech Highsnobiety Havaianas & Zellerfeld's 3D-printed flip-flop is high-tech lo-fi footwear, a combo of cu",Google Alert,lo-fi,pending,
2025-08-05,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=https://www.forbes.com/sites/danidiplacido/2025/08/04/its-the-end-of-an-era-for-youtubes-lo-fi-girl/&ct=ga&cd=CAEYACoSMzAxNzY0NDczNjQ1OTkwMzYzMhoyOTllZjY3NzQzYzgxNjYwOmNvbTplbjpVUw&usg=AOvVaw1JQ3XSptPgZdfuhD1Of4UI>,=== News - 10 new results for [Lo-Fi] ===  It's The End Of An Era For YouTube's 'Lofi Girl' - Forbes Forbes YouTube's Lofi Girl has finally finished her homework and officially 'graduated' after,Google Alert,lo-fi,pending,
2025-08-05,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=https://www.forbes.com/sites/danidiplacido/2025/08/04/its-the-end-of-an-era-for-youtubes-lo-fi-girl/&ct=ga&cd=CAEYACoSOTM3ODUxNTY5MTE1NTUxNzM5Mho3ZTMzZmQ2OWViZDdiYmQ2OmNvbTplbjpVUw&usg=AOvVaw1JQ3XSptPgZdfuhD1Of4UI>,"=== News - 7 new results for [Lofi] ===  It's The End Of An Era For YouTube's 'Lofi Girl' - Forbes Forbes YouTube's Lofi Girl, who stars in “lo-fi hip radio beats to relax/study to” playlists and",Google Alert,lo-fi,pending,
2025-08-10,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=https://24hip-hop.com/aguynamed-chai-the-sound-of-vulnerability-with-swagger/&ct=ga&cd=CAEYACoTNzk4MzA4MzA5Mjg5OTA0ODI1OTIaMjk5ZWY2Nzc0M2M4MTY2MDpjb206ZW46VVM&usg=AOvVaw3BlMLl9W5CbXwQwxO8GWiI>,"=== News - 10 new results for [Lo-Fi] ===  aguynamed CHAI! — The Sound of Vulnerability With Swagger - 24Hip-Hop 24Hip-Hop Blending alternative hip-hop, indie rap, and lo-fi soul, CHAI! crafts a",Google Alert,lo-fi,pending,
2025-08-10,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=https://www.ainvest.com/news/moonbull-gains-momentum-top-crypto-watch-2025-2508/&ct=ga&cd=CAEYACoUMTE4ODEwMDY4Njk1MzQ2NTg5ODkyGjdlMzNmZDY5ZWJkN2JiZDY6Y29tOmVuOlVT&usg=AOvVaw2sirupnGB1jYJJ4Oq3qG6Y>,"=== News - 1 new result for [Lofi] ===  MoonBull Gains Momentum as Top Crypto to Watch in 2025 - AInvest AInvest While MoonBull is generating significant buzz, lo-fi and Mog Coin are also demonst",Google Alert,lo-fi,trash,crypto_block
2025-08-11,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=http://www.msn.com/en-us/tv/news/disney-and-iam8bit-team-up-for-a-lo-fi-gravity-falls-vinyl/ar-AA1HM6vK%3Fapiversion%3Dv2%26noservercache%3D1%26domshim%3D1%26renderwebcomponents%3D1%26wcseo%3D1%26batchservertelemetry%3D1%26noservertelemetry%3D1&ct=ga&cd=CAEYACoUMTI3NzA4MDMxOTI4OTA3NDY0MzkyGjdlMzNmZDY5ZWJkN2JiZDY6Y29tOmVuOlVT&usg=AOvVaw3kGuuuukEjdP9qRvw6PuNU>,"=== News - 2 new results for [Lofi] ===  Disney And iam8bit Team Up For A Lo-Fi 'Gravity Falls' Vinyl - MSN MSN Following the Grammy-nominated Gravity Falls vinyl, iam8bit and Disney have teamed",Google Alert,lo-fi,pending,
2025-08-11,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=http://www.msn.com/en-us/tv/news/disney-and-iam8bit-team-up-for-a-lo-fi-gravity-falls-vinyl/ar-AA1HM6vK%3Fapiversion%3Dv2%26noservercache%3D1%26domshim%3D1%26renderwebcomponents%3D1%26wcseo%3D1%26batchservertelemetry%3D1%26noservertelemetry%3D1&ct=ga&cd=CAEYACoUMTY4MzI4Mjc5OTgxOTcxMDQ1NzcyGjI5OWVmNjc3NDNjODE2NjA6Y29tOmVuOlVT&usg=AOvVaw3kGuuuukEjdP9qRvw6PuNU>,"=== News - 10 new results for [Lo-Fi] ===  Disney And iam8bit Team Up For A Lo-Fi 'Gravity Falls' Vinyl - MSN MSN Following the Grammy-nominated Gravity Falls vinyl, iam8bit and Disney have teame",Google Alert,lo-fi,pending,
2025-08-12,Google Alert - Lofi,https://sonicstate.com/news/2025/07/17/free-lo-fi-acoustic-guitar-instrument,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://kottke.org/25/07/0047112-how-ai-wreaked-havoc-on,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.youtube.com/watch?v=n67L1Mci3ps,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.tctimes.com/local-events/?_evDiscoveryPath=/event/107072063n-kelsey-at-lofi,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.filmibeat.com/bollywood/viral/2025/fans-relive-the-magic-of-seerat-kapoor-s-voice-with-the-new-lofi-version-of-her-debut-song-as-singer-470163.html,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://pixelkin.org/2025/07/17/chill-music-game-spirit-city-is-hitting-the-road-er-rails-with-new-dlc/,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.ainvest.com/news/moonbull-whitelist-nears-full-capacity-driving-urgency-traders-2507/,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.msn.com/en-us/music/news/kenyas-star-tops-spotify-global-chart-as-local-artists-break-borders/ar-AA1IMsF1,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://pitchfork.com/thepitch/the-battle-to-save-the-soul-of-city-pop-from-ai/,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.backseatmafia.com/track-video-pussy-heaven-unveil-new-single-lily-with-lo-fi-ode-to-johannesburg/,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://routenote.com/radar/aso-driving-a-warm-and-introspective-lo-fi-instrumental/,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://www.nag.co.za/2025/07/21/lo-fi-feels-and-lotus-vibes-bo-path-of-the-teal-lotus-drops-a-free-chill-ep/,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://www.ainvest.com/news/stealthex-partners-lofi-crypto-giveaway-2507/,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://www.ainvest.com/news/stealthex-partners-lofi-100-giveaway-2507/,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://www.recordoftheday.com/record-of-the-day/2025-07-21/miracle2025,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://cryptodaily.co.uk/2025/07/stealthex-and-lofi-project-launch-exclusive-giveaway-with-100-prize-pool-and-2-nfts,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://everythingisnoise.net/weekly-featured-artist/wfa-indifferent-engine/,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://www.youtube.com/watch?v=PD0ZqGe591I,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://chaoszine.net/oli-sykes-and-alissic-share-the-names-and-a-photo-of-their-children/,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://menafn.com/1109825763/Internet-music-known-for-its-soft-playful-often-ironic-tone,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://earmilk.com/2025/07/21/t-m-shares-lo-fi-heartbreak-anthem-sadderday/,=== News - 9 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.ainvest.com/news/stealthex-partners-lofi-100-giveaway-2507/,=== News - 9 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.ainvest.com/news/stealthex-partners-lofi-crypto-giveaway-2507/,=== News - 9 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://cryptodaily.co.uk/2025/07/stealthex-and-lofi-project-launch-exclusive-giveaway-with-100-prize-pool-and-2-nfts,=== News - 9 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.castanet.net/pressroom/pressrelease.php?id=3137,=== News - 9 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.youtube.com/watch?v=rlv3eptSUj0,=== News - 9 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.pressreader.com/sri-lanka/daily-mirror-sri-lanka/20250722/282260966501072,=== News - 9 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://menafn.com/1109825763/Internet-music-known-for-its-soft-playful-often-ironic-tone,=== News - 9 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://cairoscene.com/Noise/Cairo-s-New-Wave-of-Indie-Bands,=== News - 9 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.youtube.com/watch?v=SXySxLgCV-8,=== News - 9 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.laughingplace.com/disney-entertainment/fantastic-four-mickey-lofi/,=== News - 3 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.ainvest.com/news/dogecoin-news-today-moonbull-exclusive-whitelist-drives-meme-coin-frenzy-lofi-neiro-offer-niche-strategies-2507/,=== News - 3 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.ainvest.com/news/ethereum-news-today-moonbull-mobu-emerges-high-growth-ethereum-meme-coin-mirroring-lofi-strategy-2507/,=== News - 3 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.ainvest.com/news/moonbull-whitelist-capacity-lofi-volume-surges-47-mog-coin-bounces-2-2025-crypto-push-2507/,=== News - 8 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.fanthatracks.com/news/film-music-tv/star-wars-lofi-power-of-two-from-star-wars-lofi-vol-5-visualizer-video/,=== News - 8 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.latestly.com/socially/social-viral/lofi-girl-has-graduated-iconic-animated-character-from-youtube-channel-announces-milestone-achievement-concluding-her-long-standing-depiction-of-perpetual-study-sessions-watch-video-7032405.html,=== News - 8 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://crypto-economy.com/top-6-meme-coins-with-real-potential-one-early-access-project-is-already-changing-the-game/,=== News - 8 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://brooklynrail.org/2025/07/artseen/daniel-johnston-i-think-i-draw-i-am/,=== News - 8 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://ra.co/events/2225933,=== News - 8 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://vocal.media/beat/the-future-of-independent-music-in-2025-diy-decentralized-and-dominant,=== News - 8 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.fanthatracks.com/news/conventions-events/dorchester-strikes-back-2025-saturday-2nd-sunday-3rd-august-2025/,=== News - 8 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://www.eonline.com/news/1420565/youtubes-lofi-girl-graduates-after-studying-for-7-years,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://www.straitstimes.com/life/entertainment/youtubes-lofi-girl-finally-finishes-homework-and-graduates-after-8-years,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://www.yahoo.com/entertainment/articles/lofi-girl-youtube-iconic-study-090544829.html,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://toonado.com/television/lofi-girl-announces-that-she-has-finally-graduated-a9926,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://www.malaymail.com/news/life/2025/07/31/lofi-girl-finally-graduates-after-seven-years-of-non-stop-studying/185984,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://tribune.com.pk/story/2558838/who-is-lofi-girl-youtubes-iconic-study-streamer-graduates-after-7-years-of-non-stop-studying,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://billboardphilippines.com/culture/lifestyle/youtubes-lofi-girl-finally-graduates-after-8-years/,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://www.youtube.com/watch?v=rvbk7Cu-Jkw,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://www.soapcentral.com/pop-culture/news-1-who-person-behind-lofi-girl-details-explored-youtuber-announces-graduation-7-years-studying,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://www.primetimer.com/features/who-is-lofi-girl-viral-posts-youtuber-graduated-7-years-flood-social-media,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.eonline.com/news/1420565/youtubes-lofi-girl-graduates-after-studying-for-7-years,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.straitstimes.com/life/entertainment/youtubes-lofi-girl-finally-finishes-homework-and-graduates-after-8-years,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://toonado.com/television/lofi-girl-announces-that-she-has-finally-graduated-a9926,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.malaymail.com/news/life/2025/07/31/lofi-girl-finally-graduates-after-seven-years-of-non-stop-studying/185984,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.yahoo.com/entertainment/articles/lofi-girl-youtube-iconic-study-090544829.html,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.youtube.com/watch?v=rvbk7Cu-Jkw,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://billboardphilippines.com/culture/lifestyle/youtubes-lofi-girl-finally-graduates-after-8-years/,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://tribune.com.pk/story/2558838/who-is-lofi-girl-youtubes-iconic-study-streamer-graduates-after-7-years-of-non-stop-studying,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://www.soapcentral.com/pop-culture/news-1-who-person-behind-lofi-girl-details-explored-youtuber-announces-graduation-7-years-studying,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lofi,https://esports.gg/news/league-of-legends/spirit-blossom-springs-lofi-remix-ep-now-available-on-spotify/,=== News - 10 new results for [Lofi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://thehustle.co/news/this-ai-device-lets-you-watch-your-dreams-as-lo-fi-movies,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://vocal.media/humans/lofi-girl-graduates-after-eight-years-of-eternal-studying,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://mezha.net/eng/bukvy/lofi-girl-has-graduated-the-story-and-impact-of-the-popular-youtube-channel/,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://www.premierguitar.com/pro-advice/the-good-stuff/dave-grohl-gas-can-amp,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
2025-08-12,Google Alert - Lo-Fi,https://inshorts.com/en/amp_news/youtube-s-study-streamer-lofi-girl-announces-her-graduation-after-7-years--1753974716297,=== News - 10 new results for [Lo-Fi] ===,Google Alert,lofi,pending,
